Semana_Epidemiologica,chuva,temp_ar,umidade,vento_vel,chuva_lag_1,temp_ar_lag_1,umidade_lag_1,vento_vel_lag_1,chuva_lag_2,temp_ar_lag_2,umidade_lag_2,vento_vel_lag_2,chuva_lag_3,temp_ar_lag_3,umidade_lag_3,vento_vel_lag_3,chuva_lag_4,temp_ar_lag_4,umidade_lag_4,vento_vel_lag_4,ano
25,0.2,19.945833333333333,74.5297619047619,2.2458333333333336,11.4,16.317261904761907,79.73809523809524,3.3172619047619043,41.6,19.557142857142857,85.98214285714286,2.657142857142857,7.6,17.01845238095238,74.76785714285714,2.2327380952380955,0.0,21.682738095238093,74.55357142857143,2.6095238095238096,2025
26,46.8,17.847619047619048,75.83333333333333,2.6821428571428574,0.2,19.945833333333333,74.5297619047619,2.2458333333333336,11.4,16.317261904761907,79.73809523809524,3.3172619047619043,41.6,19.557142857142857,85.98214285714286,2.657142857142857,7.6,17.01845238095238,74.76785714285714,2.2327380952380955,2025
27,0.0,16.201785714285716,77.98809523809524,2.9761904761904763,46.8,17.847619047619048,75.83333333333333,2.6821428571428574,0.2,19.945833333333333,74.5297619047619,2.2458333333333336,11.4,16.317261904761907,79.73809523809524,3.3172619047619043,41.6,19.557142857142857,85.98214285714286,2.657142857142857,2025
28,0.0,17.583928571428572,71.60714285714286,3.4607142857142854,0.0,16.201785714285716,77.98809523809524,2.9761904761904763,46.8,17.847619047619048,75.83333333333333,2.6821428571428574,0.2,19.945833333333333,74.5297619047619,2.2458333333333336,11.4,16.317261904761907,79.73809523809524,3.3172619047619043,2025
29,0.0,18.501785714285717,62.45238095238095,2.6607142857142856,0.0,17.583928571428572,71.60714285714286,3.4607142857142854,0.0,16.201785714285716,77.98809523809524,2.9761904761904763,46.8,17.847619047619048,75.83333333333333,2.6821428571428574,0.2,19.945833333333333,74.5297619047619,2.2458333333333336,2025
30,0.4,18.925,69.21428571428571,2.9422619047619047,0.0,18.501785714285717,62.45238095238095,2.6607142857142856,0.0,17.583928571428572,71.60714285714286,3.4607142857142854,0.0,16.201785714285716,77.98809523809524,2.9761904761904763,46.8,17.847619047619048,75.83333333333333,2.6821428571428574,2025
31,13.799999999999999,17.886309523809523,62.648809523809526,3.4785714285714286,0.4,18.925,69.21428571428571,2.9422619047619047,0.0,18.501785714285717,62.45238095238095,2.6607142857142856,0.0,17.583928571428572,71.60714285714286,3.4607142857142854,0.0,16.201785714285716,77.98809523809524,2.9761904761904763,2025
32,0.0,16.93095238095238,68.11309523809524,3.052380952380952,13.799999999999999,17.886309523809523,62.648809523809526,3.4785714285714286,0.4,18.925,69.21428571428571,2.9422619047619047,0.0,18.501785714285717,62.45238095238095,2.6607142857142856,0.0,17.583928571428572,71.60714285714286,3.4607142857142854,2025
33,0.0,16.91845238095238,66.08333333333333,3.5226190476190475,0.0,16.93095238095238,68.11309523809524,3.052380952380952,13.799999999999999,17.886309523809523,62.648809523809526,3.4785714285714286,0.4,18.925,69.21428571428571,2.9422619047619047,0.0,18.501785714285717,62.45238095238095,2.6607142857142856,2025
34,0.0,23.054166666666667,56.595238095238095,3.4672619047619047,0.0,16.91845238095238,66.08333333333333,3.5226190476190475,0.0,16.93095238095238,68.11309523809524,3.052380952380952,13.799999999999999,17.886309523809523,62.648809523809526,3.4785714285714286,0.4,18.925,69.21428571428571,2.9422619047619047,2025
35,0.0,20.938095238095237,67.0,3.9761904761904763,0.0,23.054166666666667,56.595238095238095,3.4672619047619047,0.0,16.91845238095238,66.08333333333333,3.5226190476190475,0.0,16.93095238095238,68.11309523809524,3.052380952380952,13.799999999999999,17.886309523809523,62.648809523809526,3.4785714285714286,2025
36,0.0,22.848214285714285,58.75595238095238,4.097619047619047,0.0,20.938095238095237,67.0,3.9761904761904763,0.0,23.054166666666667,56.595238095238095,3.4672619047619047,0.0,16.91845238095238,66.08333333333333,3.5226190476190475,0.0,16.93095238095238,68.11309523809524,3.052380952380952,2025
