data_iniSE;SE;casos_est;casos_est_min;casos_est_max;casos;p_rt1;p_inc100k;Localidade_id;nivel;id;versao_modelo;Rt;pop;tempmin;umidmax;receptivo;transmissao;nivel_inc;umidmed;umidmin;tempmed;tempmax;casprov;notif_accum_year;Data_Inicio_Semanas;ano;Semana_Epidemiologica;temp_ar;chuva;umidade;chuva_lag_1;temp_lag_1;chuva_lag_2;temp_lag_2;chuva_lag_3;temp_lag_3;chuva_lag_4;temp_lag_4
2018-09-30;201840;0.0;0;0;0;0.0;0.0;0;1;353470820184019589;2023-08-20;0.0;114352;20.2857142857143;94.9001348571429;0;0;0;82.5925335714286;68.0201548571429;23.3895022857143;27.2857142857143;0.0;34935;2018-09-30;2018;40;23.057142857142857;12.0;77.38690476190476;25.8;23.648809523809526;83.8;20.723214285714285;18.0;20.64761904761905;2.2;18.692857142857143
2018-09-23;201839;2.0;2;2;2;0.52219313;1.7489855;0;1;353470820183919589;2023-08-20;1.0519122;114352;20.1428571428571;91.1748514285714;0;0;0;81.1770128571429;65.8631387142857;22.3363637142857;25.8571428571429;1.0;34935;2018-09-23;2018;39;23.648809523809526;25.8;71.20833333333333;83.8;20.723214285714285;18.0;20.64761904761905;2.2;18.692857142857143;0.0;20.123809523809523
2018-09-16;201838;2.0;2;2;2;0.6502604;1.7489855;0;1;353470820183819589;2023-08-20;1.4530727;114352;17.5714285714286;100.0;0;0;0;92.6535108571429;81.99789;19.5571428571429;22.5714285714286;0.0;34935;2018-09-16;2018;38;20.723214285714285;83.8;82.1547619047619;18.0;20.64761904761905;2.2;18.692857142857143;0.0;20.123809523809523;44.8;20.271428571428572
2018-09-09;201837;3.0;3;3;3;0.82915074;2.6234784;0;1;353470820183719589;2023-08-20;2.3802197;114352;15.8571428571429;93.0521385714286;0;0;0;84.7494211428571;67.9345742857143;18.1220777142857;22.1428571428571;0.0;34935;2018-09-09;2018;37;20.64761904761905;18.0;69.89285714285714;2.2;18.692857142857143;0.0;20.123809523809523;44.8;20.271428571428572;0.4;17.502380952380953
2018-09-02;201836;0.0;0;0;0;0.0;0.0;0;1;353470820183619589;2023-08-20;0.0;114352;14.7142857142857;92.4565071428571;0;0;0;81.7432705714286;64.3146045714286;16.9155844285714;20.2857142857143;0.0;34935;2018-09-02;2018;36;18.692857142857143;2.2;69.20833333333333;0.0;20.123809523809523;44.8;20.271428571428572;0.4;17.502380952380953;28.4;15.203571428571427
2018-08-26;201835;2.0;2;2;2;0.73548967;1.7489855;0;1;353470820183519589;2023-08-20;1.8977958;114352;16.4285714285714;83.211884;0;0;0;73.4727658571429;62.76824;18.9233767142857;22.0;0.0;34935;2018-08-26;2018;35;20.123809523809523;0.0;66.13690476190476;44.8;20.271428571428572;0.4;17.502380952380953;28.4;15.203571428571427;95.8;18.36845238095238
2018-08-19;201834;1.0;1;1;1;0.4832059;0.87449276;0;1;353470820183419589;2023-08-20;0.9530254;114352;17.5714285714286;86.8053385714286;0;0;0;75.2751544285714;60.2786742857143;19.8168831428571;22.8571428571429;0.0;34935;2018-08-19;2018;34;20.271428571428572;44.8;75.07738095238095;0.4;17.502380952380953;28.4;15.203571428571427;95.8;18.36845238095238;0.0;20.267857142857142
2018-08-12;201833;1.0;1;1;1;0.42543933;0.87449276;0;1;353470820183319589;2023-08-20;0.81104666;114352;13.8571428571429;90.7008064285714;0;0;0;79.5341361428571;66.2239251428571;16.2206555714286;19.5714285714286;0.0;34935;2018-08-12;2018;33;17.502380952380953;0.4;70.89880952380952;28.4;15.203571428571427;95.8;18.36845238095238;0.0;20.267857142857142;0.0;20.438690476190477
2018-08-05;201832;1.0;1;1;1;0.3948414;0.87449276;0;1;353470820183219589;2023-08-20;0.74590415;114352;13.4285714285714;98.1976057142857;0;0;0;86.049599;66.2235872857143;16.9940478571429;21.7142857142857;0.0;34935;2018-08-05;2018;32;15.203571428571427;28.4;86.39880952380952;95.8;18.36845238095238;0.0;20.267857142857142;0.0;20.438690476190477;0.0;15.755952380952381
2018-07-29;201831;1.0;1;1;1;0.49841863;0.87449276;0;1;353470820183119589;2023-08-20;0.9954507;114352;16.0;89.2603795714286;0;0;0;74.6019157142857;55.2965474285714;20.0238097142857;25.2857142857143;0.0;34935;2018-07-29;2018;31;18.36845238095238;95.8;76.07738095238095;0.0;20.267857142857142;0.0;20.438690476190477;0.0;15.755952380952381;0.2;19.791071428571428
